usoplaguic,x_magnas,y_magnas,Shape_area
Si,1035592.3457826781,1126052.069815277,1112226.326867294
Si,1035959.1670978421,1382892.4709486058,1273708.769434777
Si,1154572.7362514373,1228190.500820664,73857436.14409114
Si,1164962.8981519123,1212214.1789925073,102381713.60209566
Si,1041243.6369295496,1354438.4054501024,110499947.3807495
Si,1077530.9965770305,1318664.3001282676,1181272981.2790782
Si,1130537.3561083213,1264675.048198049,221421876.9204201
Si,1086814.8383794115,1288504.9328885067,550184503.1125311
Si,1112946.7479968541,1304479.660404773,236561113.928288
Si,1120438.687621689,1294644.1600159276,126430305.58548486
Si,1106753.9874990364,1283212.8210438867,153693496.20063636
Si,1125604.4784258176,1284837.4849790423,330656609.22964036
Si,1158305.9848776397,1255394.3917944839,418512220.399924
Si,1088218.2809345145,1247561.3533131632,364416188.12351114
Si,1139493.9391289118,1243520.6883180074,280339781.89185786
Si,1107183.3373717954,1245168.416156066,288412930.00308114
Si,1148128.294612739,1235041.4104646044,58614594.64986284
Si,989856.1126889951,1200546.419646171,3171639673.1264515
Si,1155188.0920075253,1212996.786781416,82536386.40756087
Si,1092176.4158661987,1206441.7899790525,127094849.69826852
Si,1100244.9188959023,1201499.3639815429,73414755.82402876
Si,1107036.8710357265,1203469.8611545595,79624533.40621814
Si,1087949.3353143902,1198718.7178813615,59208952.5754388
Si,1088280.910629207,1180246.9222252006,285211444.8837117
Si,1131672.2140853854,1168797.9889166448,911050.5935415062
Si,1028032.4890065157,1139069.1458589416,90601810.6071755
Si,1073057.7327667326,1130393.2610112145,1495916.405470368
